fips,state,county,perc_fair_or_poor_health,perc_days_physically_unhealthy,perc_days_mentally_unhealthy,perc_low_birthweight,perc_adults_smoking,perc_adults_obesity,food_environment_index,perc_physically_inactive,perc_with_exercise_opportunities,perc_excessive_drinking,perc_driving_deaths_alcohol,perc_uninsured,primary_care_physicians_ratio,mental_health_provider_ratio,preventable_hospitalization_rate,perc_annual_mammagram,perc_vaccinated,perc_completed_high_school,perc_some_college,perc_unemployed,perc_children_in_poverty,income_ratio_20_80,perc_children_single_parent,social_association_rate,avg_daily_pm,water_violation,perc_severe_housing_problems,severe_housing_cost_burden,overcrowding,inadequate_facilities,perc_drive_alone_to_work,perc_long_commute_alone,life_expectancy,perc_adults_diabetes,perc_food_insecure,perc_limited_access_healthy_foods,perc_insufficient_sleep,perc_uninsured_adults,perc_uninsured_children,other_primary_care_provider_ratio,school_funding_accuracy,gender_pay_gap,median_household_income,perc_income_required_child_care,perc_voter_turnout,perc_census_participation,perc_homeowners,perc_households_severe_cost_burden,perc_households_broadband_access,population,perc_under_18,perc_65_over,perc_black,perc_ai_an,perc_asian,perc_nh_opi,perc_hispanic,perc_non_hispanic_white,perc_not_proficient_english,perc_female,perc_rural
1001,Alabama,Autauga,17,11.333333333333332,16,10,18,37,6.6,26,56,17,32,11,4.452359750667854e-4,3.5536602700781805e-4,4372,38,42,90,60,2.8,16,0.20833333333333334,27,12.6,10,0,14,13,1,2,86,42,76.6,11,15,13,38,13,4,4.737091425864519e-4,-2077,0.68,66444,20,66.2,68.8,74,13,85,59095,23.4,16,20.7,0.5,1.2,0.1,3.3,72.5,0,51.4,42
1003,Alabama,Baldwin,15,11,16,8,17,33,7.5,23,66,19,32,11,6.540222367560497e-4,0.0010449320794148381,2864,39,47,91,66,3,16,0.23255813953488372,19,9.6,7.6,1,12,11,1,1,81,38,77.7,10,12,8,35,14,4,7.44047619047619e-4,343,0.74,65658,21,65.3,56.4,77,11,88,239294,21.2,21.5,8.4,0.8,1.1,0.1,4.8,83.1,1,51.3,42.3
1005,Alabama,Barbour,28,15.333333333333332,16.666666666666664,12,26,46,5.8,36,55,13,38,14,3.2530904359141186e-4,2.403268445085316e-4,3559,41,40,76,39,5.7,35,0.1923076923076923,54,9.4,9.4,1,16,13,4,1,83,37,72.9,16,20,10,44,19,4,6.009615384615385e-4,-13560,0.74,38649,28,54,54.5,62,10,65,24964,20.5,20,47.4,0.7,0.5,0.2,5,45.3,1,46.7,67.8
1007,Alabama,Bibb,22,13.333333333333334,18.000000000000004,10,23,38,7.4,32,18,16,21,13,6.325110689437065e-4,4.0048057669203043e-4,4856,31,34,81,37,3.5,29,0.2,29,9,9.8,0,11,8,1,2,87,55,73.6,12,16,0,40,16,4,0.0014684287812041115,-2660,0.82,48454,26,54.6,56,79,9,75,22477,20.1,16.7,21.3,0.5,0.3,0.1,3.1,73.6,0,46,68.4
1009,Alabama,Blount,18,13,18.000000000000004,8,22,33,7.8,29,41,16,15,13,2.0733982998133942e-4,2.032520325203252e-4,3010,32,42,84,57,2.4,17,0.20833333333333334,22,6.7,9.6,0,10,7,2,1,86,60,74.2,11,14,3,37,17,4,3.3875338753387534e-4,-889,0.86,56894,24,64.2,66.7,79,8,81,59041,23.1,18.7,1.6,0.7,0.4,0.1,9.9,86.3,2,50.2,90
1011,Alabama,Bullock,30,15.666666666666668,17,15,26,48,4.3,40,3,13,35,12,3.007518796992481e-4,1.937984496124031e-4,3047,35,32,78,36,4,42,0.15873015873015872,68,7,9.3,0,13,13,0,1,84,49,73.8,18,16,32,46,16,3,6.784260515603799e-4,-15767,0.67,32027,42,59.1,48.8,65,19,59,10320,21.3,17.6,68.2,0.9,0.3,0.8,9.1,21.3,1,44.6,51.4
1013,Alabama,Butler,23,14.000000000000002,17.333333333333336,13,22,45,6.8,32,45,14,35,13,2.0508613617719443e-4,8.47457627118644e-4,4201,33,34,86,41,5.3,34,0.18867924528301888,33,9.2,9.1,0,12,9,2,1,87,35,73.5,14,16,7,41,17,4,9.532888465204957e-4,-9256,0.83,39442,34,62.9,55.8,72,9,76,18884,22.6,21.2,44.7,0.4,1.4,0,1.7,50.6,0,53.4,71.2
1015,Alabama,Calhoun,20,12.666666666666664,16.333333333333336,9,21,37,6,28,65,16,14,13,5.991611743559018e-4,0.0014925373134328358,3722,30,39,85,55,4.1,25,0.20833333333333334,30,13.4,9.7,0,12,10,2,1,85,30,72.8,12,16,15,38,16,3,8.278145695364238e-4,-4113,0.76,48166,22,57.9,63.6,71,11,82,115972,21.7,18.5,21.3,0.5,0.9,0.1,4.2,71.1,1,51.6,33.7
1017,Alabama,Chambers,22,13.666666666666666,18.333333333333332,13,22,41,6.9,32,50,15,30,13,4.2589437819420784e-4,8.685079034219212e-5,3181,29,44,83,56,3.7,32,0.23809523809523808,33,18.9,9.8,0,17,11,5,2,87,28,73.8,13,15,8,43,16,4,2.0267531414673692e-4,-11973,0.79,45447,32,58.5,58.3,69,10,77,34541,20.7,20.3,40.1,0.4,0.9,0.1,2.9,54.7,0,52.1,49.1
1019,Alabama,Cherokee,19,13,18.333333333333332,8,23,41,7.4,29,38,18,18,13,3.803727653100038e-4,2.4003840614498319e-4,3916,31,47,80,50,2.5,27,0.20833333333333334,25,8.4,9.5,0,9,8,1,1,85,46,74,11,14,5,38,16,4,8.802816901408451e-4,81,0.86,46365,21,59.5,45.7,78,8,77,24996,18.9,24,4.1,0.8,0.5,0,1.9,91.1,1,50.2,85.7
